Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%,POS
Nikola Mirotic,NOP,32,28.9,14,18,0.7,0.8,6.8,2.4,4,60.5,Forward
Nikola Jokic,DEN,46,31.2,31,15,1.3,0.7,7.5,3.7,6,60.4,Center
Nicolas Batum,CHA,47,30.8,23,24,0.9,0.4,4.3,1.6,2.7,59.4,G/F
Myles Turner,IND,42,28.2,30,12,0.5,2.8,5.9,3.9,7.1,54.4,C/F
Montrezl Harrell,LAC,48,25.7,26,22,0.9,1.4,4.4,2.7,4.5,58.7,C/F
Mike Conley,MEM,47,33.6,19,28,1.3,0.3,2.7,1.1,1.7,69.2,Guard
Mikal Bridges,PHX,49,26.4,11,38,1.4,0.6,2.2,1.6,2.6,60.9,Forward
Marvin Williams,CHA,46,27.6,23,23,0.9,0.7,4.6,2.4,4,60.9,Forward
Markieff Morris,WAS,34,26,13,21,0.7,0.6,3.9,2.2,3.6,59.7,Forward
Marcus Smart,BOS,47,26.5,30,17,1.7,0.4,2.1,1.2,1.6,74,G/F
Marcus Morris,BOS,44,27.3,28,16,0.6,0.3,5.1,1.5,2.4,63.8,Forward
Marc Gasol,MEM,47,33.9,19,28,1.2,1.3,7.6,3.2,5,63.3,Center
Malcolm Brogdon,MIL,43,29.4,32,11,0.7,0.3,3.6,1.1,1.7,63,G/F
Luka Doncic,DAL,46,32,20,26,1.2,0.3,5.7,2.5,3.5,69.8,G/F
Lou Williams,LAC,42,25.3,25,17,0.6,0.1,2.3,1,1.4,74.1,Guard
Lonzo Ball,LAL,47,30.3,25,22,1.5,0.4,4.2,1.7,2.5,68.1,Guard
LeBron James,LAL,34,34.7,20,14,1.3,0.7,7.4,1.5,2.8,53.7,Forward
Lauri Markkanen,CHI,24,31.3,6,18,0.9,0.8,6.1,2.6,4.1,63.6,Forward
Larry Nance Jr.,CLE,39,25.6,8,31,1.5,0.7,5.3,2.9,4.6,62.4,Forward
LaMarcus Aldridge,SAS,49,32.6,27,22,0.6,1.2,5.7,2.3,4.2,55.9,C/F
