Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
44,,2018-01-20,19-350,CHO,,MIA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,35,2018-01-22,19-352,CHO,,SAC,W (+5),0,5:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
46,,2018-01-24,19-354,CHO,,NOP,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,,2018-01-26,19-356,CHO,,ATL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,36,2018-01-27,19-357,CHO,@,MIA,L (-4),0,7:00,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-10
49,,2018-01-29,19-359,CHO,@,IND,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,37,2018-01-31,19-361,CHO,@,ATL,W (+13),0,2:32,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.3,-6
51,,2018-02-02,19-363,CHO,,IND,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,,2018-02-04,20-000,CHO,@,PHO,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,38,2018-02-05,20-001,CHO,@,DEN,L (-17),0,3:07,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-2
54,,2018-02-08,20-004,CHO,@,POR,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,39,2018-02-09,20-005,CHO,@,UTA,L (-12),0,2:38,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,+1
56,40,2018-02-11,20-007,CHO,,TOR,L (-20),0,8:20,2,5,.400,1,4,.250,0,0,,0,0,0,0,0,0,0,0,5,2.3,+9
57,,2018-02-14,20-010,CHO,@,ORL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,41,2018-02-22,20-018,CHO,,BRK,W (+15),0,1:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-0.3,0
59,42,2018-02-23,20-019,CHO,@,WAS,W (+17),0,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
60,43,2018-02-25,20-021,CHO,,DET,W (+16),0,6:03,0,5,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.9,-14
61,44,2018-02-27,20-023,CHO,,CHI,W (+15),0,1:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
62,45,2018-02-28,20-024,CHO,@,BOS,L (-28),0,18:56,1,7,.143,1,3,.333,0,0,,0,0,0,2,1,0,0,3,3,-0.3,-7
